Benchmark,Associativity,Prefetcher,Miss Rate (%)
cholesky,1way,ghb_prefetch,19.2825
cholesky,1way,no_prefetch,26.19
cholesky,1way,simple_prefetch,17.8725
cholesky,2way,ghb_prefetch,17.3275
cholesky,2way,no_prefetch,17.825
cholesky,2way,simple_prefetch,10.3475
cholesky,4way,ghb_prefetch,17.65
cholesky,4way,no_prefetch,17.9025
cholesky,4way,simple_prefetch,9.8125
cholesky,8way,ghb_prefetch,17.845
cholesky,8way,no_prefetch,18.137500000000003
cholesky,8way,simple_prefetch,9.84
cholesky,16way,ghb_prefetch,17.1625
cholesky,16way,no_prefetch,18.4325
cholesky,16way,simple_prefetch,9.9525
cholesky,32way,ghb_prefetch,17.979999999999997
cholesky,32way,no_prefetch,18.284999999999997
cholesky,32way,simple_prefetch,9.58
cholesky,64way,ghb_prefetch,19.365000000000002
cholesky,64way,no_prefetch,18.314999999999998
cholesky,64way,simple_prefetch,9.445
cholesky,128way,ghb_prefetch,17.81
cholesky,128way,no_prefetch,18.365000000000002
cholesky,128way,simple_prefetch,9.254999999999999
cholesky,256way,ghb_prefetch,17.9925
cholesky,256way,no_prefetch,18.3025
cholesky,256way,simple_prefetch,9.13
fmm,1way,ghb_prefetch,16.835
fmm,1way,no_prefetch,17.7025
fmm,1way,simple_prefetch,18.41
fmm,2way,ghb_prefetch,8.8225
fmm,2way,no_prefetch,8.0825
fmm,2way,simple_prefetch,6.047499999999999
fmm,4way,ghb_prefetch,7.045
fmm,4way,no_prefetch,7.53
fmm,4way,simple_prefetch,5.8500000000000005
fmm,8way,ghb_prefetch,6.0625
fmm,8way,no_prefetch,7.470000000000001
fmm,8way,simple_prefetch,5.9025
fmm,16way,ghb_prefetch,5.9025
fmm,16way,no_prefetch,7.4675
fmm,16way,simple_prefetch,5.909999999999999
fmm,32way,ghb_prefetch,6.045
fmm,32way,no_prefetch,7.467499999999999
fmm,32way,simple_prefetch,5.907500000000001
fmm,64way,ghb_prefetch,6.065
fmm,64way,no_prefetch,7.465
fmm,64way,simple_prefetch,5.897500000000001
fmm,128way,ghb_prefetch,6.029999999999999
fmm,128way,no_prefetch,7.4675
fmm,128way,simple_prefetch,5.915
fmm,256way,ghb_prefetch,6.095
fmm,256way,no_prefetch,7.4625
fmm,256way,simple_prefetch,5.8675
lu.cont,1way,ghb_prefetch,0.615
lu.cont,1way,no_prefetch,0.07
lu.cont,1way,simple_prefetch,0.045
lu.cont,2way,ghb_prefetch,0.0625
lu.cont,2way,no_prefetch,0.0675
lu.cont,2way,simple_prefetch,0.04750000000000001
lu.cont,4way,ghb_prefetch,0.06
lu.cont,4way,no_prefetch,0.0675
lu.cont,4way,simple_prefetch,0.045000000000000005
lu.cont,8way,ghb_prefetch,0.055
lu.cont,8way,no_prefetch,0.06999999999999999
lu.cont,8way,simple_prefetch,0.039999999999999994
lu.cont,16way,ghb_prefetch,0.06
lu.cont,16way,no_prefetch,0.07
lu.cont,16way,simple_prefetch,0.0475
lu.cont,32way,ghb_prefetch,0.0625
lu.cont,32way,no_prefetch,0.0675
lu.cont,32way,simple_prefetch,0.045
lu.cont,64way,ghb_prefetch,0.05499999999999999
lu.cont,64way,no_prefetch,0.0675
lu.cont,64way,simple_prefetch,0.045000000000000005
lu.cont,128way,ghb_prefetch,0.0625
lu.cont,128way,no_prefetch,0.065
lu.cont,128way,simple_prefetch,0.042499999999999996
lu.cont,256way,ghb_prefetch,0.06
lu.cont,256way,no_prefetch,0.0675
lu.cont,256way,simple_prefetch,0.045000000000000005
radix,1way,ghb_prefetch,17.432499999999997
radix,1way,no_prefetch,30.590000000000003
radix,1way,simple_prefetch,18.6
radix,2way,ghb_prefetch,16.1325
radix,2way,no_prefetch,29.6175
radix,2way,simple_prefetch,17.8875
radix,4way,ghb_prefetch,15.48
radix,4way,no_prefetch,29.2875
radix,4way,simple_prefetch,17.692499999999995
radix,8way,ghb_prefetch,15.3875
radix,8way,no_prefetch,29.302500000000002
radix,8way,simple_prefetch,17.740000000000002
radix,16way,ghb_prefetch,15.805
radix,16way,no_prefetch,29.2025
radix,16way,simple_prefetch,17.477500000000003
radix,32way,ghb_prefetch,15.4775
radix,32way,no_prefetch,29.305
radix,32way,simple_prefetch,17.7425
radix,64way,ghb_prefetch,16.169999999999998
radix,64way,no_prefetch,29.2875
